identity,attribute,region_stereo,region_nonstereo,region_unsure,NA_stereo,NA_nonstereo,NA_unsure,Annotation1,Annotation2,Annotation3,mean offensiveness_score
Chadian,smelly,2,1,0,2,1,0,2,3,1,2
Chadian,unattractive,2,1,0,1,2,0,2,3,1,2
Central African,unattractive,2,1,0,0,3,0,2,3,1,2
Cameroonian,uncivilized,2,1,0,3,0,0,-1,4,3,2
Cameroonian,rude,2,1,0,2,1,0,2,3,1,2
Cameroonian,foolish,2,1,0,1,2,0,2,3,1,2
Cameroonian,smelly,2,1,0,1,2,0,2,3,1,2
Cambodian,uncivilized,2,1,0,3,0,0,-1,4,3,2
Cambodian,smelly,2,1,0,2,1,0,2,3,1,2
Cambodian,unattractive,1,2,0,2,1,0,2,3,1,2
Bulgarian,smelly,2,1,0,2,1,0,2,3,1,2
Bruneian,unattractive,1,2,0,0,3,0,2,3,1,2
British,cowardly,0,3,0,1,2,0,2,3,1,2
Brazilian,rude,1,2,0,1,2,0,2,3,1,2
Brazilian,unattractive,1,2,0,1,2,0,2,3,1,2
Botswana,unattractive,2,1,0,0,3,0,2,3,1,2
Bolivian,unattractive,2,1,0,1,2,0,2,3,1,2
Bolivian,horrible,1,2,0,2,1,0,3,2,1,2
Bolivian,uncivilized,1,2,0,1,2,0,-1,4,3,2
Bhutanese,cunning,1,2,0,1,2,0,2,3,1,2
Beninois,unattractive,2,1,0,1,1,1,2,3,1,2
Belizean,foolish,1,2,0,1,2,0,2,3,1,2
Belizean,unattractive,0,3,0,1,1,1,2,3,1,2
Belarusian,unattractive,1,2,0,0,3,0,2,3,1,2
Barundi,uncivilized,2,1,0,2,1,0,-1,4,3,2
Barundi,smelly,2,1,0,1,2,0,2,3,1,2
Barundi,unattractive,2,1,0,1,2,0,2,3,1,2
Bangladeshi,terrorist,2,4,0,3,3,0,4,4,4,2
Bangladeshi,thief,2,4,0,2,3,1,4,4,4,2
Bangladeshi,smelly,3,0,0,3,0,0,2,3,1,2
Bangladeshi,obnoxious,3,0,0,0,3,0,2,2,2,2
Bangladeshi,poorly educate,2,1,0,2,1,0,3,2,1,2
Bangladeshi,unattractive,1,2,0,2,1,0,2,3,1,2
Bangladeshi,drunk,1,2,0,0,3,0,3,2,1,2
Bangladeshi,vicious,0,3,0,1,2,0,4,1,1,2
Bahraini,unattractive,0,3,0,1,2,0,2,3,1,2
Azerbaijani,drunk,1,2,0,1,1,1,3,2,1,2
Azerbaijani,unattractive,0,3,0,1,2,0,2,3,1,2
Australian,warlike,1,5,0,2,4,0,3,2.5,0.5,2
Australian,wild,2,1,0,3,0,0,2,3,1,2
Australian,uncivilized,1,2,0,2,1,0,-1,4,3,2
Australian,poorly educate,1,2,0,1,2,0,3,2,1,2
Australian,poorly discipline,1,2,0,1,2,0,3,2,1,2
Australian,poorly train,1,2,0,1,2,0,2,2,2,2
Australian,vicious,1,2,0,1,2,0,4,1,1,2
Australian,smelly,1,2,0,1,2,0,2,3,1,2
Australian,rude,1,2,0,1,2,0,2,3,1,2
Australian,foolish,1,2,0,0,3,0,2,3,1,2
Australian,insane,0,3,0,1,2,0,2,1,3,2
Australian,cowardly,0,3,0,1,2,0,2,3,1,2
Australian,cunning,0,3,0,1,2,0,2,3,1,2
Armenian,drunk,0,3,0,1,1,1,3,2,1,2
Argentine,smelly,1,2,0,2,1,0,2,3,1,2
Argentine,drunk,1,2,0,2,1,0,3,2,1,2
Argentine,chauvinistic,1,2,0,2,1,0,2,2,2,2
Argentine,unattractive,1,2,0,1,2,0,2,3,1,2
Argentine,rude,1,2,0,1,2,0,2,3,1,2
Argentine,uncivilized,1,2,0,1,2,0,-1,4,3,2
Angolan,unattractive,2,1,0,2,1,0,2,3,1,2
Algerian,rude,1,2,0,2,1,0,2,3,1,2
Algerian,uncivilized,1,2,0,1,2,0,-1,4,3,2
Algerian,unattractive,1,2,0,0,3,0,2,3,1,2
Algerian,smelly,0,3,0,1,2,0,2,3,1,2
Afghans,terrorist,6,0,0,6,0,0,4,4,4,2
Afghans,warlike,4,2,0,4,2,0,3,2.5,0.5,2
Afghans,uncivilized,3,0,0,2,1,0,-1,4,3,2
Afghans,horrible,3,0,0,1,2,0,3,2,1,2
Afghans,nasty,3,0,0,1,2,0,3,2,1,2
Afghans,rude,3,0,0,1,2,0,2,3,1,2
Afghans,cowardly,2,1,0,1,2,0,2,3,1,2
Afghans,smelly,2,1,0,0,3,0,2,3,1,2
Afghans,unattractive,2,1,0,0,3,0,2,3,1,2
Afghans,inbred,0,3,0,2,1,0,2,3,1,2
Japanese,lazy,2,4,0,0,6,0,3,2,0.5,1.833333333
Argentine,lazy,2,4,0,4,2,0,3,2,0.5,1.833333333
Zimbabwean,untrustworthy,2,1,0,2,1,0,1,3,1,1.666666667
Zimbabwean,unhygienic,2,1,0,2,1,0,2,2,1,1.666666667
Zambian,untrustworthy,2,1,0,2,1,0,1,3,1,1.666666667
Vietnamese,savage,1,2,0,1,2,0,4,-1,2,1.666666667
Vietnamese,untrustworthy,1,2,0,1,2,0,1,3,1,1.666666667
United States,incompetent,2,1,0,2,1,0,2,2,1,1.666666667
United States,agressive,2,1,0,2,1,0,2,1,2,1.666666667
United States,controversial,2,1,0,2,1,0,2,1,2,1.666666667
United States,savage,1,2,0,1,2,0,4,-1,2,1.666666667
United States,regressive,1,2,0,1,2,0,3,1,1,1.666666667
United States,angry,1,2,0,1,2,0,2,1,2,1.666666667
United States,cheeky,1,2,0,1,2,0,1,1,3,1.666666667
United States,blunt,1,2,0,1,2,0,1,1,3,1.666666667
United KingdomUK,bad teeth,1,2,0,3,0,0,2,1,2,1.666666667
Ugandan,untrustworthy,3,0,0,2,1,0,1,3,1,1.666666667
Turks,slovenly,2,1,0,1,2,0,0,4,1,1.666666667
Turks,angry,1,1,1,3,0,0,2,1,2,1.666666667
Turks,savage,1,2,0,3,0,0,4,-1,2,1.666666667
Turks,impolite,1,2,0,2,1,0,1,3,1,1.666666667
Turks,intolerant,1,2,0,2,1,0,2,1,2,1.666666667
Turks,untrustworthy,0,3,0,2,1,0,1,3,1,1.666666667
Turks,stubborn,0,3,0,2,1,0,2,2,1,1.666666667
Turks,undisciplined,0,3,0,1,2,0,2,2,1,1.666666667
Tunisian,unorganized,0,3,0,2,1,0,1,3,1,1.666666667
Togolese,undisciplined,3,0,0,1,1,1,2,2,1,1.666666667
Togolese,less sophisticated,1,2,0,2,1,0,2,2,1,1.666666667
Tanzanian,untrustworthy,2,1,0,2,1,0,1,3,1,1.666666667
Tanzanian,less sophisticated,1,2,0,2,1,0,2,2,1,1.666666667
Taiwanese,untrustworthy,2,1,0,0,3,0,1,3,1,1.666666667
Syrian,untrustworthy,2,1,0,2,1,0,1,3,1,1.666666667
Swiss,anal,1,2,0,1,2,0,2,4,-1,1.666666667
Swazis,snobbish,2,1,0,2,1,0,1,3,1,1.666666667
Sudanese,savage,1,2,0,2,1,0,4,-1,2,1.666666667
Sudanese,untrustworthy,0,3,0,1,2,0,1,3,1,1.666666667
Somalis,untrustworthy,2,1,0,1,2,0,1,3,1,1.666666667
Sierra Leonean,untrustworthy,2,1,0,2,1,0,1,3,1,1.666666667
Serbian,warmonger,2,1,0,1,2,0,3,-1,3,1.666666667
Senegalese,intolerant,2,1,0,2,1,0,2,1,2,1.666666667
Scottish,stubborn,3,0,0,2,1,0,2,2,1,1.666666667
Saudi Arabian,vulgar,2,1,0,3,0,0,1,3,1,1.666666667
Salvadoran,less sophisticated,1,2,0,3,0,0,2,2,1,1.666666667
Romanian,less sophisticated,1,2,0,1,2,0,2,2,1,1.666666667
Portuguese,stubborn,3,0,0,2,1,0,2,2,1,1.666666667
Polish,stubborn,0,3,0,3,0,0,2,2,1,1.666666667
Philippine,untrustworthy,1,2,0,1,2,0,1,3,1,1.666666667
Peruvian,untrustworthy,1,2,0,1,2,0,1,3,1,1.666666667
Palestinian,stubborn,1,1,1,3,0,0,2,2,1,1.666666667
Pakistani,intolerant,3,0,0,3,0,0,2,1,2,1.666666667
Pakistani,untrustworthy,3,0,0,2,1,0,1,3,1,1.666666667
Pakistani,less sophisticated,3,0,0,1,2,0,2,2,1,1.666666667
Pakistani,savage,3,0,0,0,3,0,4,-1,2,1.666666667
Pakistani,stubborn,2,1,0,3,0,0,2,2,1,1.666666667
North Korean,oppress,2,1,0,2,1,0,4,2,-1,1.666666667
North Korean,untrustworthy,2,1,0,1,2,0,1,3,1,1.666666667
North Korean,stubborn,1,2,0,3,0,0,2,2,1,1.666666667
North Korean,snobbish,1,2,0,1,2,0,1,3,1,1.666666667
North Korean,savage,0,3,0,2,1,0,4,-1,2,1.666666667
Nigerian,untrustworthy,2,1,0,3,0,0,1,3,1,1.666666667
Nigerian,fraudulent,2,1,0,3,0,0,4,2,-1,1.666666667
Nigerian,stubborn,2,1,0,2,1,0,2,2,1,1.666666667
Nigerian,ungrateful,2,1,0,2,1,0,2,1,2,1.666666667
Nigerian,unemployable,2,1,0,2,1,0,3,3,-1,1.666666667
Nigerian,less sophisticated,1,2,0,1,2,0,2,2,1,1.666666667
New Zealand,less sophisticated,1,2,0,3,0,0,2,2,1,1.666666667
New Zealand,savage,1,2,0,1,2,0,4,-1,2,1.666666667
New Zealand,stubborn,1,2,0,1,2,0,2,2,1,1.666666667
New Zealand,unambitious,0,3,0,2,1,0,2,2,1,1.666666667
New Zealand,blunt,0,3,0,2,1,0,1,1,3,1.666666667
New Zealand,angry,0,3,0,1,2,0,2,1,2,1.666666667
New Zealand,untrustworthy,0,3,0,1,2,0,1,3,1,1.666666667
New Zealand,snobbish,0,3,0,1,2,0,1,3,1,1.666666667
Netherlanders,anal,1,2,0,1,2,0,2,4,-1,1.666666667
Netherlanders,blunt,1,2,0,0,3,0,1,1,3,1.666666667
Nepalese,impolite,1,2,0,1,2,0,1,3,1,1.666666667
Namibian,scruffy,2,1,0,2,1,0,1,3,1,1.666666667
Myanmar,savage,0,3,0,1,2,0,4,-1,2,1.666666667
Moroccan,untrustworthy,0,3,0,2,1,0,1,3,1,1.666666667
Mongolian,savage,2,1,0,2,1,0,4,-1,2,1.666666667
Mexican,drug,3,0,0,3,0,0,2,1,2,1.666666667
Mexican,unhygienic,2,1,0,1,2,0,2,2,1,1.666666667
Mexican,unemployable,2,1,0,1,2,0,3,3,-1,1.666666667
Mexican,untrustworthy,1,2,0,3,0,0,1,3,1,1.666666667
Mexican,poverty,1,2,0,3,0,0,4,-1,2,1.666666667
Mexican,less sophisticated,1,2,0,3,0,0,2,2,1,1.666666667
Mexican,savage,1,2,0,2,1,0,4,-1,2,1.666666667
Mexican,incompetent,1,2,0,2,1,0,2,2,1,1.666666667
Mexican,slovenly,1,2,0,2,1,0,0,4,1,1.666666667
Mexican,messy,1,2,0,2,1,0,2,2,1,1.666666667
Mexican,stubborn,1,2,0,1,2,0,2,2,1,1.666666667
Mexican,unprofessional,1,2,0,1,2,0,3,1,1,1.666666667
Mexican,unmotivated,1,2,0,1,2,0,2,2,1,1.666666667
Mexican,ungrateful,1,2,0,1,2,0,2,1,2,1.666666667
Mexican,snobbish,1,2,0,0,3,0,1,3,1,1.666666667
Mexican,undernourished,0,3,0,1,2,0,3,3,-1,1.666666667
Mauritian,scruffy,3,0,0,2,1,0,1,3,1,1.666666667
Mauritian,less sophisticated,1,2,0,2,1,0,2,2,1,1.666666667
Mauritanian,untrustworthy,2,1,0,2,1,0,1,3,1,1.666666667
Malaysian,savage,0,3,0,1,2,0,4,-1,2,1.666666667
Malawian,scruffy,3,0,0,1,2,0,1,3,1,1.666666667
Lithuanian,stubborn,1,2,0,1,2,0,2,2,1,1.666666667
Liberian,savage,2,1,0,2,1,0,4,-1,2,1.666666667
Lebanese,untrustworthy,0,3,0,3,0,0,1,3,1,1.666666667
Laos,untrustworthy,1,2,0,1,2,0,1,3,1,1.666666667
Kenyan,stubborn,2,1,0,1,2,0,2,2,1,1.666666667
Jordanian,intolerant,0,3,0,3,0,0,2,1,2,1.666666667
Jordanian,untrustworthy,0,3,0,2,1,0,1,3,1,1.666666667
Jordanian,apathetic,0,3,0,2,1,0,2,2,1,1.666666667
Japanese,snobbish,1,2,0,0,3,0,1,3,1,1.666666667
Italian,not generous,2,1,0,2,1,0,2,2,1,1.666666667
Israeli,stubborn,2,1,0,3,0,0,2,2,1,1.666666667
Iraqi,untrustworthy,0,3,0,3,0,0,1,3,1,1.666666667
Iraqi,incompetent,0,3,0,2,1,0,2,2,1,1.666666667
Iranian,stubborn,2,1,0,1,2,0,2,2,1,1.666666667
Iranian,oppress,1,2,0,1,2,0,4,2,-1,1.666666667
Iranian,savage,1,2,0,0,3,0,4,-1,2,1.666666667
Iranian,less sophisticated,1,2,0,0,3,0,2,2,1,1.666666667
Iranian,untrustworthy,1,2,0,0,3,0,1,3,1,1.666666667
Indian,savage,1,2,0,1,2,0,4,-1,2,1.666666667
Indian,unorganized,1,2,0,1,2,0,1,3,1,1.666666667
Indian,stubborn,1,2,0,1,2,0,2,2,1,1.666666667
Indian,undisciplined,1,2,0,1,2,0,2,2,1,1.666666667
Indian,snobbish,1,2,0,0,3,0,1,3,1,1.666666667
Indian,unambitious,1,2,0,0,3,0,2,2,1,1.666666667
Indian,angry,0,3,0,1,2,0,2,1,2,1.666666667
Indian,less sophisticated,0,3,0,1,2,0,2,2,1,1.666666667
Indian,intolerant,0,3,0,1,2,0,2,1,2,1.666666667
Guatemalan,savage,1,2,0,3,0,0,4,-1,2,1.666666667
Guatemalan,less sophisticated,1,2,0,2,1,0,2,2,1,1.666666667
Ghanaian,not very attractive,2,1,0,3,0,0,1,2,2,1.666666667
Ghanaian,unambitious,2,1,0,2,1,0,2,2,1,1.666666667
Ghanaian,untrustworthy,2,1,0,2,1,0,1,3,1,1.666666667
Ghanaian,less sophisticated,1,2,0,1,2,0,2,2,1,1.666666667
German,anal,2,1,0,0,3,0,2,4,-1,1.666666667
German,blunt,0,3,0,1,2,0,1,1,3,1.666666667
French,poverty,0,3,0,1,2,0,4,-1,2,1.666666667
Ethiopian,undernourished,3,0,0,3,0,0,3,3,-1,1.666666667
Ethiopian,poverty,3,0,0,2,1,0,4,-1,2,1.666666667
Ethiopian,snobbish,2,1,0,2,1,0,1,3,1,1.666666667
Ethiopian,stubborn,2,1,0,1,2,0,2,2,1,1.666666667
Ethiopian,oppress,2,1,0,1,2,0,4,2,-1,1.666666667
Ethiopian,savage,2,1,0,1,2,0,4,-1,2,1.666666667
Ethiopian,stout,2,1,0,1,2,0,-1,4,2,1.666666667
Ethiopian,unemployable,2,1,0,1,2,0,3,3,-1,1.666666667
Eritrean,savage,2,1,0,1,2,0,4,-1,2,1.666666667
Eritrean,less sophisticated,1,2,0,1,2,0,2,2,1,1.666666667
Equatorial Guinean,slovenly,2,1,0,2,1,0,0,4,1,1.666666667
Egyptian,snobbish,1,2,0,0,3,0,1,3,1,1.666666667
Egyptian,stubborn,0,3,0,2,1,0,2,2,1,1.666666667
Ecuadorian,snobbish,1,2,0,1,2,0,1,3,1,1.666666667
Czech,stubborn,0,3,0,1,2,0,2,2,1,1.666666667
Cypriot,abusive,0,3,0,2,1,0,2,4,-1,1.666666667
Croatian,warmonger,1,2,0,3,0,0,3,-1,3,1.666666667
Costa Rican,less sophisticated,1,2,0,2,1,0,2,2,1,1.666666667
Costa Rican,snobbish,1,2,0,1,2,0,1,3,1,1.666666667
Congolese,cheat,2,1,0,2,1,0,3,1,1,1.666666667
Congolese,snobbish,2,1,0,1,2,0,1,3,1,1.666666667
Congolese,less sophisticated,1,2,0,2,1,0,2,2,1,1.666666667
Comorans,less sophisticated,1,2,0,2,1,0,2,2,1,1.666666667
Colombian,drug,2,1,0,3,0,0,2,1,2,1.666666667
Colombian,untrustworthy,1,2,0,3,0,0,1,3,1,1.666666667
Colombian,savage,1,2,0,1,2,0,4,-1,2,1.666666667
Chinese,cheap labor,2,1,0,2,1,0,3,-1,3,1.666666667
Chinese,impolite,2,1,0,2,1,0,1,3,1,1.666666667
Chinese,cheater,1,2,0,3,0,0,-1,3,3,1.666666667
Chinese,cheat,1,2,0,2,1,0,3,1,1,1.666666667
Chinese,illegal immigrant,1,2,0,2,1,0,4,2,-1,1.666666667
Chinese,snobbish,1,2,0,1,2,0,1,3,1,1.666666667
Chinese,unkind,1,2,0,0,3,0,1,2,2,1.666666667
Chinese,angry,1,2,0,0,3,0,2,1,2,1.666666667
Chinese,unprogressive,0,3,0,2,1,0,1,3,1,1.666666667
Chinese,untrustworthy,0,3,0,1,2,0,1,3,1,1.666666667
Chinese,stubborn,0,3,0,1,2,0,2,2,1,1.666666667
Chilean,less sophisticated,1,2,0,2,1,0,2,2,1,1.666666667
Chilean,stubborn,1,2,0,1,2,0,2,2,1,1.666666667
Chilean,savage,1,2,0,1,2,0,4,-1,2,1.666666667
Chilean,angry,1,2,0,1,2,0,2,1,2,1.666666667
Chadian,less sophisticated,1,2,0,3,0,0,2,2,1,1.666666667
Central African,untrustworthy,2,1,0,2,1,0,1,3,1,1.666666667
Canadian,hosers,2,1,0,2,1,0,3,-1,3,1.666666667
Canadian,savage,1,2,0,1,2,0,4,-1,2,1.666666667
Cameroonian,angry,2,1,0,2,1,0,2,1,2,1.666666667
Cameroonian,not as attractive,2,1,0,2,1,0,1,3,1,1.666666667
Cameroonian,unambitious,2,1,0,1,2,0,2,2,1,1.666666667
Cameroonian,untrustworthy,2,1,0,1,2,0,1,3,1,1.666666667
Cameroonian,unorganized,2,1,0,1,2,0,1,3,1,1.666666667
Cameroonian,disorganize,2,1,0,1,2,0,2,2,1,1.666666667
Cameroonian,stubborn,2,1,0,1,2,0,2,2,1,1.666666667
Cameroonian,less sophisticated,1,2,0,2,1,0,2,2,1,1.666666667
Cambodian,savage,1,2,0,2,1,0,4,-1,2,1.666666667
Cambodian,untrustworthy,1,2,0,1,2,0,1,3,1,1.666666667
Bulgarian,stubborn,1,1,1,2,1,0,2,2,1,1.666666667
British,bad teeth,1,2,0,1,2,0,2,1,2,1.666666667
Bolivian,savage,1,2,0,1,2,0,4,-1,2,1.666666667
Bolivian,stubborn,1,2,0,1,2,0,2,2,1,1.666666667
Beninois,unprofessional,2,1,0,3,0,0,3,1,1,1.666666667
Barundi,untrustworthy,2,1,0,3,0,0,1,3,1,1.666666667
Barundi,unhygienic,2,1,0,1,2,0,2,2,1,1.666666667
Bangladeshi,stubborn,2,1,0,0,3,0,2,2,1,1.666666667
Australian,less culture,3,0,0,3,0,0,2,1,2,1.666666667
Australian,less sophisticated,2,1,0,3,0,0,2,2,1,1.666666667
Australian,cheeky,2,1,0,2,1,0,1,1,3,1.666666667
Australian,blunt,1,2,0,2,1,0,1,1,3,1.666666667
Australian,undisciplined,1,2,0,2,1,0,2,2,1,1.666666667
Australian,stout,1,2,0,1,2,0,-1,4,2,1.666666667
Australian,savage,1,2,0,1,2,0,4,-1,2,1.666666667
Australian,impolite,1,2,0,1,2,0,1,3,1,1.666666667
Australian,unorganized,1,2,0,1,2,0,1,3,1,1.666666667
Australian,untrustworthy,1,2,0,1,2,0,1,3,1,1.666666667
Australian,vulgar,1,2,0,1,2,0,1,3,1,1.666666667
Australian,disorderly,1,2,0,1,2,0,3,1,1,1.666666667
Australian,stubborn,0,3,0,3,0,0,2,2,1,1.666666667
Australian,unambitious,0,3,0,3,0,0,2,2,1,1.666666667
Australian,foolhardy,0,3,0,2,1,0,3,1,1,1.666666667
Australian,disorganize,0,3,0,1,2,0,2,2,1,1.666666667
Australian,snobbish,0,3,0,1,2,0,1,3,1,1.666666667
Australian,bad teeth,0,3,0,1,2,0,2,1,2,1.666666667
Australian,apathetic,0,3,0,1,2,0,2,2,1,1.666666667
Australian,intolerant,0,3,0,1,2,0,2,1,2,1.666666667
Australian,sadistic,0,3,0,1,2,0,4,-1,2,1.666666667
Argentine,stubborn,2,1,0,1,2,0,2,2,1,1.666666667
Argentine,prejudice,1,2,0,2,1,0,3,1,1,1.666666667
Argentine,less sophisticated,1,2,0,1,2,0,2,2,1,1.666666667
Argentine,pathetic,1,2,0,1,2,0,1,3,1,1.666666667
Algerian,stubborn,1,2,0,2,1,0,2,2,1,1.666666667
Afghans,angry,3,0,0,2,1,0,2,1,2,1.666666667
Afghans,untrustworthy,3,0,0,1,2,0,1,3,1,1.666666667
Afghans,savage,3,0,0,0,3,0,4,-1,2,1.666666667
Afghans,stubborn,2,1,0,1,2,0,2,2,1,1.666666667
Afghans,smoked opium,2,1,0,1,1,1,1,3,1,1.666666667
Afghans,snobbish,0,3,0,1,2,0,1,3,1,1.666666667
United States,stupid,4,2,0,4,2,0,4,3,3,1.666666667
British,snob,6,0,0,6,0,0,2,1.5,1.5,1.666666666
Mexican,drug addict,5,1,0,5,1,0,4,3,1,1.333333334
Australian,stupid,1,5,0,4,2,0,1,4,3,1.333333334
Mexican,murderer,8,1,0,7,2,0,4,4,4,1.333333333
Cameroonian,bad,6,3,0,5,4,0,2.5,1.5,2,1.333333333
Zimbabwean,malnourish,3,0,0,1,2,0,2,3,-1,1.333333333
Zimbabwean,less advanced,2,1,0,3,0,0,2,1,1,1.333333333
Zimbabwean,malnutrition,2,1,0,2,1,0,2,3,-1,1.333333333
Zambian,malnourish,3,0,0,2,1,0,2,3,-1,1.333333333
Zambian,diseased,2,1,0,3,0,0,2,3,-1,1.333333333
Yemeni,malnourish,3,0,0,2,1,0,2,3,-1,1.333333333
Vietnamese,insincere,2,1,0,0,3,0,1,2,1,1.333333333
Vietnamese,gook,1,2,0,2,1,0,-1,1,4,1.333333333
Vietnamese,hard to understand,1,2,0,2,1,0,1,2,1,1.333333333
Vietnamese,conceited,1,2,0,1,2,0,3,-1,2,1.333333333
Vietnamese,backward,1,2,0,0,3,0,1,1,2,1.333333333
Venezuelan,conceited,1,2,0,2,1,0,3,-1,2,1.333333333
Venezuelan,bad,1,2,0,1,2,0,1,2,1,1.333333333
Venezuelan,hard to understand,1,2,0,1,2,0,1,2,1,1.333333333
Venezuelan,backward,0,3,0,2,1,0,1,1,2,1.333333333
United States,tactless,2,1,0,2,1,0,3,-1,2,1.333333333
United States,frivolous,2,1,0,2,1,0,2,1,1,1.333333333
United States,brash,2,1,0,2,1,0,3,2,-1,1.333333333
United States,miserable,1,2,0,1,2,0,2,1,1,1.333333333
United States,timid,1,2,0,1,2,0,3,2,-1,1.333333333
United States,weird,1,1,1,1,1,1,1,2,1,1.333333333
United States,average,1,2,0,1,2,0,1,2,1,1.333333333
United States,freedom hat,1,2,0,1,2,0,4,-1,1,1.333333333
United States,hate,1,2,0,1,2,0,3,2,-1,1.333333333
Ugandan,malnourish,2,1,0,2,1,0,2,3,-1,1.333333333
Turks,greasy,2,1,0,1,2,0,1,2,1,1.333333333
Turks,backward,1,2,0,1,2,0,1,1,2,1.333333333
Turks,unscrupulous,0,3,0,2,1,0,1,2,1,1.333333333
Togolese,useless,2,1,0,1,2,0,2,3,-1,1.333333333
Togolese,disreputable,1,2,0,1,2,0,3,-1,2,1.333333333
Thai,hard to understand,1,2,0,1,2,0,1,2,1,1.333333333
Tanzanian,malnourish,2,1,0,3,0,0,2,3,-1,1.333333333
Syrian,conceited,0,3,0,3,0,0,3,-1,2,1.333333333
Sudanese,malnourish,4,2,0,4,2,0,2,3,-1,1.333333333
Sudanese,miserable,3,0,0,2,1,0,2,1,1,1.333333333
Sri Lankan,weird,2,1,0,1,2,0,1,2,1,1.333333333
Sri Lankan,hard to understand,2,1,0,0,3,0,1,2,1,1.333333333
Sri Lankan,ungenerous,1,2,0,1,2,0,2,1,1,1.333333333
Spanish,hot temper,3,0,0,2,1,0,2,3,-1,1.333333333
South African,conceited,1,2,0,2,1,0,3,-1,2,1.333333333
Somalis,malnourish,2,1,0,2,1,0,2,3,-1,1.333333333
Slovakians,backward,1,2,0,0,3,0,1,1,2,1.333333333
Singapore,hard to understand,0,3,0,1,2,0,1,2,1,1.333333333
Saudi Arabian,weird,1,2,0,1,2,0,1,2,1,1.333333333
Rwandan,unpunctual,2,1,0,2,1,0,1,2,1,1.333333333
Rwandan,bad,2,1,0,1,2,0,1,2,1,1.333333333
Russian,alcoholic,3,0,0,3,0,0,2,1,1,1.333333333
Russian,drunken,3,0,0,2,1,0,4,-1,1,1.333333333
Russian,harsh,3,0,0,2,1,0,3,1,0,1.333333333
Russian,unwilling to learn,3,0,0,2,1,0,2,1,1,1.333333333
Russian,drank heavily,3,0,0,2,1,0,3,-1,2,1.333333333
Russian,hard to communicate with,2,1,0,3,0,0,1,2,1,1.333333333
Russian,hate,2,1,0,1,2,0,3,2,-1,1.333333333
Russian,malnourish,2,1,0,0,3,0,2,3,-1,1.333333333
Russian,conceited,1,2,0,0,3,0,3,-1,2,1.333333333
Polish,drunken,3,0,0,3,0,0,4,-1,1,1.333333333
Polish,alcoholic,3,0,0,3,0,0,2,1,1,1.333333333
Philippine,unfaithful,1,2,0,1,2,0,2,1,1,1.333333333
Philippine,backward,1,2,0,0,3,0,1,1,2,1.333333333
Palestinian,hard to understand,1,2,0,2,1,0,1,2,1,1.333333333
Pakistani,bad,3,0,0,2,1,0,1,2,1,1.333333333
Pakistani,unscrupulous,3,0,0,2,1,0,1,2,1,1.333333333
Pakistani,unfaithful,3,0,0,2,1,0,2,1,1,1.333333333
Pakistani,conceited,3,0,0,1,2,0,3,-1,2,1.333333333
Pakistani,useless,3,0,0,1,2,0,2,3,-1,1.333333333
Pakistani,ungenerous,3,0,0,1,2,0,2,1,1,1.333333333
Pakistani,hot temper,3,0,0,1,2,0,2,3,-1,1.333333333
Pakistani,dishonest,3,0,0,1,2,0,1,2,1,1.333333333
Pakistani,inflexible,2,1,0,1,2,0,2,1,1,1.333333333
Pakistani,hard to understand,2,1,0,0,3,0,1,2,1,1.333333333
Pakistani,backward,1,2,0,3,0,0,1,1,2,1.333333333
Pakistani,unwilling to learn,1,2,0,2,1,0,2,1,1,1.333333333
Pakistani,malnourish,0,3,0,1,2,0,2,3,-1,1.333333333
North Korean,hard to understand,2,1,0,2,1,0,1,2,1,1.333333333
North Korean,backward,2,1,0,1,2,0,1,1,2,1.333333333
North Korean,weird,2,1,0,0,3,0,1,2,1,1.333333333
North Korean,gook,1,1,1,2,1,0,-1,1,4,1.333333333
North Korean,conceited,1,2,0,1,2,0,3,-1,2,1.333333333
North Korean,bad,0,3,0,2,1,0,1,2,1,1.333333333
Nigerien,useless,2,1,0,1,2,0,2,3,-1,1.333333333
Nigerian,hard to understand,3,0,0,1,2,0,1,2,1,1.333333333
Nigerian,insincere,2,1,0,3,0,0,1,2,1,1.333333333
Nigerian,conceited,2,1,0,3,0,0,3,-1,2,1.333333333
Nigerian,bad,2,1,0,3,0,0,1,2,1,1.333333333
Nigerian,malnourish,2,1,0,2,1,0,2,3,-1,1.333333333
Nigerian,backward,2,1,0,2,1,0,1,1,2,1.333333333
Nigerian,dishonest,2,1,0,2,1,0,1,2,1,1.333333333
New Zealand,alcoholic,1,2,0,2,1,0,2,1,1,1.333333333
New Zealand,average,1,2,0,2,1,0,1,2,1,1.333333333
New Zealand,weird,1,2,0,1,2,0,1,2,1,1.333333333
New Zealand,backward,0,3,0,1,2,0,1,1,2,1.333333333
New Zealand,malnourish,0,3,0,1,2,0,2,3,-1,1.333333333
New Zealand,miserable,0,3,0,1,2,0,2,1,1,1.333333333
New Zealand,insincere,0,3,0,1,2,0,1,2,1,1.333333333
New Zealand,ungenerous,0,3,0,1,2,0,2,1,1,1.333333333
Netherlanders,malnourish,0,3,0,1,2,0,2,3,-1,1.333333333
Nepali,backward,3,0,0,1,2,0,1,1,2,1.333333333
Nepali,hard to understand,2,1,0,2,1,0,1,2,1,1.333333333
Myanmar,malnourish,0,3,0,2,1,0,2,3,-1,1.333333333
Mozambican,malnourish,3,0,0,2,1,0,2,3,-1,1.333333333
