,,Stereotype Ratings within Region,,,Stereotype Ratings from North America,,,Offensiveness Annotations,,,
Vietnamese,unintelligent,2,1,0,2,1,0,4,2,3,3
Senegalese,corrupt,2,1,0,2,1,0,4,3,2,3
Zimbabwean,unintelligent,2,1,0,2,1,0,4,2,3,3
Zimbabwean,scammers,2,1,0,2,1,0,4,3,2,3
South African,corrupt,2,1,0,2,1,0,4,3,2,3
Gambian,unintelligent,2,1,0,2,1,0,4,2,3,3
Ghanaian,unintelligent,2,1,0,2,1,0,4,2,3,3
Ivorians,liars,2,1,0,2,1,0,4,3,2,3
Ghanaian,untidy,2,1,0,2,1,0,3,4,2,3
Gambian,liars,2,1,0,2,1,0,4,3,2,3
Ethiopian,unintelligent,2,1,0,2,1,0,4,2,3,3
Libyan,uncivilised,2,1,0,2,1,0,2,4,3,3
Saudi Arabian,corrupt,2,1,0,2,1,0,4,3,2,3
Mexican,corrupt,2,1,0,2,1,0,4,3,2,3
Australian,xenophobic,2,1,0,2,1,0,3,4,2,3
United States,gun violence,2,1,0,2,1,0,4,2,3,3
Polish,drunkards,2,1,0,2,1,0,2,3,3,2.666666667
Romanian,stupid,2,1,0,2,1,0,1,4,3,2.666666667
Italian,sleazy,2,1,0,2,1,0,2,4,2,2.666666667
Greeks,vindictive,2,1,0,2,1,0,2,4,2,2.666666667
Nepalese,ignorant,2,1,0,2,1,0,2,4,2,2.666666667
Pakistani,evil,2,1,0,2,1,0,4,1,3,2.666666667
Somalis,ignorant,2,1,0,2,1,0,2,4,2,2.666666667
Somalis,filthy,2,1,0,2,1,0,4,3,1,2.666666667
Sierra Leonean,stupid,2,1,0,2,1,0,1,4,3,2.666666667
Zambian,uneducated,2,1,0,2,1,0,4,2,2,2.666666667
South African,stupid,2,1,0,2,1,0,1,4,3,2.666666667
Ugandan,uneducated,2,1,0,2,1,0,4,2,2,2.666666667
Togolese,uneducated,2,1,0,2,1,0,4,2,2,2.666666667
Cameroonian,evil,2,1,0,2,1,0,4,1,3,2.666666667
Ethiopian,illegal,2,1,0,2,1,0,4,1,3,2.666666667
Kenyan,stupid,2,1,0,2,1,0,1,4,3,2.666666667
Liberian,uneducated,2,1,0,2,1,0,4,2,2,2.666666667
Ghanaian,illegal,2,1,0,2,1,0,4,1,3,2.666666667
Gambian,stupid,2,1,0,2,1,0,1,4,3,2.666666667
Gabonese,stupid,2,1,0,2,1,0,1,4,3,2.666666667
Guinean,stupid,2,1,0,2,1,0,1,4,3,2.666666667
Cameroonian,filthy,2,1,0,2,1,0,4,3,1,2.666666667
Cameroonian,poorly-educated,2,1,0,2,1,0,3,3,2,2.666666667
Nigerian,stupid,2,1,0,2,1,0,1,4,3,2.666666667
Comorans,stupid,2,1,0,2,1,0,1,4,3,2.666666667
Central African,stupid,2,1,0,2,1,0,1,4,3,2.666666667
Cameroonian,very bad,2,1,0,2,1,0,4,1,3,2.666666667
Cameroonian,ugly,2,1,0,2,1,0,2,3,3,2.666666667
Nigerian,illegal,2,1,0,2,1,0,4,1,3,2.666666667
Kenyan,dumb,2,1,0,2,1,0,1,4,3,2.666666667
Guinean,ignorant,2,1,0,2,1,0,2,4,2,2.666666667
Cameroonian,unclean,2,1,0,2,1,0,4,3,1,2.666666667
Ethiopian,uneducated,2,1,0,2,1,0,4,2,2,2.666666667
Congolese,evil,2,1,0,2,1,0,4,1,3,2.666666667
Malian,unclean,2,1,0,2,1,0,4,3,1,2.666666667
Somalis,uneducated,2,1,0,2,1,0,4,2,2,2.666666667
Palestinian,treacherous,2,1,0,2,1,0,4,2,2,2.666666667
Egyptian,unclean,2,1,0,2,1,0,4,3,1,2.666666667
Guatemalan,illegal,2,1,0,2,1,0,4,1,3,2.666666667
Guyanese,ugly,2,1,0,2,1,0,2,3,3,2.666666667
Brazilian,vain,2,1,0,2,1,0,2,4,2,2.666666667
Argentine,vain,2,1,0,2,1,0,2,4,2,2.666666667
Mexican,smell bad,2,1,0,2,1,0,2,3,3,2.666666667
Australian,dumb,2,1,0,2,1,0,1,4,3,2.666666667
United States,very rude,2,1,0,2,1,0,4,2,2,2.666666667
United States,filthy,2,1,0,2,1,0,4,3,1,2.666666667
Portuguese,unreliable,2,1,0,2,1,0,2,3,2,2.333333333
Russian,ruthless,2,1,0,2,1,0,2,4,1,2.333333333
Spanish,arrogant,2,1,0,2,1,0,2,4,1,2.333333333
Vietnamese,poor,2,1,0,2,1,0,3,3,1,2.333333333
Myanmar,impoverished,2,1,0,2,1,0,3,3,1,2.333333333
Chinese,greedy,2,1,0,2,1,0,3,3,1,2.333333333
North Korean,dangerous,2,1,0,2,1,0,2,3,2,2.333333333
Japanese,arrogant,2,1,0,2,1,0,2,4,1,2.333333333
North Korean,domineering,2,1,0,2,1,0,3,3,1,2.333333333
Afghans,less intelligent,2,1,0,2,1,0,2,3,2,2.333333333
Afghans,warlike,2,1,0,2,1,0,4,4,-1,2.333333333
Afghans,were taken prisoner,2,1,0,2,1,0,4,1,2,2.333333333
Indian,poor,2,1,0,2,1,0,3,3,1,2.333333333
Cameroonian,domineering,2,1,0,2,1,0,3,3,1,2.333333333
Rwandan,poor,2,1,0,2,1,0,3,3,1,2.333333333
Tanzanian,poor,2,1,0,2,1,0,3,3,1,2.333333333
Ethiopian,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Kenyan,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Mauritanian,dangerous,2,1,0,2,1,0,2,3,2,2.333333333
Ethiopian,poor,2,1,0,2,1,0,3,3,1,2.333333333
Ghanaian,poor,2,1,0,2,1,0,3,3,1,2.333333333
Cameroonian,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Cameroonian,greedy,2,1,0,2,1,0,3,3,1,2.333333333
Mozambican,poor,2,1,0,2,1,0,3,3,1,2.333333333
Comorans,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Chadian,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Ghanaian,less intelligent,2,1,0,2,1,0,2,3,2,2.333333333
Ghanaian,less educated,2,1,0,2,1,0,2,4,1,2.333333333
Ghanaian,dangerous,2,1,0,2,1,0,2,3,2,2.333333333
Angolan,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Gambian,unreliable,2,1,0,2,1,0,2,3,2,2.333333333
Liberian,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Liberian,impoverished,2,1,0,2,1,0,3,3,1,2.333333333
Ivorians,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Congolese,dangerous,2,1,0,2,1,0,2,3,2,2.333333333
Cameroonian,uncultured,2,1,0,2,1,0,2,3,2,2.333333333
Eritrean,poor,2,1,0,2,1,0,3,3,1,2.333333333
Cameroonian,unreliable,2,1,0,2,1,0,2,3,2,2.333333333
Congolese,unreliable,2,1,0,2,1,0,2,3,2,2.333333333
Central African,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Barundi,unreliable,2,1,0,2,1,0,2,3,2,2.333333333
Cameroonian,less intelligent,2,1,0,2,1,0,2,3,2,2.333333333
Cameroonian,poor,2,1,0,2,1,0,3,3,1,2.333333333
Senegalese,lazy,2,1,0,2,1,0,3,2,2,2.333333333
South African,domineering,2,1,0,2,1,0,3,3,1,2.333333333
South African,dangerous,2,1,0,2,1,0,2,3,2,2.333333333
Sierra Leonean,impoverished,2,1,0,2,1,0,3,3,1,2.333333333
Mauritanian,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Sudanese,impoverished,2,1,0,2,1,0,3,3,1,2.333333333
Turks,ruthless,2,1,0,2,1,0,2,4,1,2.333333333
Armenian,greedy,2,1,0,2,1,0,3,3,1,2.333333333
Yemeni,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Tunisian,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Kuwaiti,arrogant,2,1,0,2,1,0,2,4,1,2.333333333
Mexican,dangerous,2,1,0,2,1,0,2,3,2,2.333333333
Guyanese,impoverished,2,1,0,2,1,0,3,3,1,2.333333333
Guatemalan,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Hondurans,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Salvadoran,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Costa Rican,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Brazilian,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Argentine,arrogant,2,1,0,2,1,0,2,4,1,2.333333333
Uruguayan,arrogant,2,1,0,2,1,0,2,4,1,2.333333333
Mexican,lazy,2,1,0,2,1,0,3,2,2,2.333333333
Mexican,less educated,2,1,0,2,1,0,2,4,1,2.333333333
Australian,uncultured,2,1,0,2,1,0,2,3,2,2.333333333
United States,not intelligent,2,1,0,2,1,0,2,3,2,2.333333333
United States,less intelligent,2,1,0,2,1,0,2,3,2,2.333333333
United States,were rude,2,1,0,2,1,0,4,2,1,2.333333333
French,smelly,2,1,0,2,1,0,2,3,1,2
Bulgarian,smelly,2,1,0,2,1,0,2,3,1,2
Finns,drunk,2,1,0,2,1,0,3,2,1,2
Serbian,uncivilized,2,1,0,2,1,0,-1,4,3,2
Lithuanian,unattractive,2,1,0,2,1,0,2,3,1,2
Vietnamese,uncivilized,2,1,0,2,1,0,-1,4,3,2
Vietnamese,unattractive,2,1,0,2,1,0,2,3,1,2
Cambodian,smelly,2,1,0,2,1,0,2,3,1,2
Myanmar,poorly constructed,2,1,0,2,1,0,3,1,2,2
Bangladeshi,poorly educated,2,1,0,2,1,0,3,2,1,2
Sri Lankan,smelly,2,1,0,2,1,0,2,3,1,2
Somalis,smelly,2,1,0,2,1,0,2,3,1,2
South Sudanese,unattractive,2,1,0,2,1,0,2,3,1,2
Tanzanian,unattractive,2,1,0,2,1,0,2,3,1,2
Tanzanian,uncivilized,2,1,0,2,1,0,-1,4,3,2
Zimbabwean,unattractive,2,1,0,2,1,0,2,3,1,2
Ethiopian,smelly,2,1,0,2,1,0,2,3,1,2
Eritrean,cowardly,2,1,0,2,1,0,2,3,1,2
Cameroonian,poorly educated,2,1,0,2,1,0,3,2,1,2
Ghanaian,unattractive,2,1,0,2,1,0,2,3,1,2
Ghanaian,rude,2,1,0,2,1,0,2,3,1,2
Ghanaian,not attractive,2,1,0,2,1,0,2,3,1,2
Angolan,unattractive,2,1,0,2,1,0,2,3,1,2
Gambian,smelly,2,1,0,2,1,0,2,3,1,2
Kenyan,unattractive,2,1,0,2,1,0,2,3,1,2
Senegalese,unattractive,2,1,0,2,1,0,2,3,1,2
Djiboutian,unattractive,2,1,0,2,1,0,2,3,1,2
Congolese,unattractive,2,1,0,2,1,0,2,3,1,2
Ethiopian,wild,2,1,0,2,1,0,2,3,1,2
Barundi,uncivilized,2,1,0,2,1,0,-1,4,3,2
Ethiopian,unattractive,2,1,0,2,1,0,2,3,1,2
Ethiopian,inferior,2,1,0,2,1,0,2,3,1,2
Cameroonian,rude,2,1,0,2,1,0,2,3,1,2
Sierra Leonean,unattractive,2,1,0,2,1,0,2,3,1,2
Somalis,unattractive,2,1,0,2,1,0,2,3,1,2
Rwandan,unattractive,2,1,0,2,1,0,2,3,1,2
Guinean,unattractive,2,1,0,2,1,0,2,3,1,2
Mauritian,unattractive,2,1,0,2,1,0,2,3,1,2
Liberian,unattractive,2,1,0,2,1,0,2,3,1,2
Kenyan,cunning,2,1,0,2,1,0,2,3,1,2
Sierra Leonean,uncivilized,2,1,0,2,1,0,-1,4,3,2
Chadian,smelly,2,1,0,2,1,0,2,3,1,2
Moroccan,smelly,2,1,0,2,1,0,2,3,1,2
Turks,rude,2,1,0,2,1,0,2,3,1,2
Syrian,smelly,2,1,0,2,1,0,2,3,1,2
Italian,not generous,2,1,0,2,1,0,2,2,1,1.666666667
Chinese,cheap labor,2,1,0,2,1,0,3,-1,3,1.666666667
North Korean,oppressed,2,1,0,2,1,0,4,2,-1,1.666666667
Mongolian,savage,2,1,0,2,1,0,4,-1,2,1.666666667
Chinese,impolite,2,1,0,2,1,0,1,3,1,1.666666667
Afghans,war-like,2,1,0,2,1,0,2,1,2,1.666666667
Swazis,snobbish,2,1,0,2,1,0,1,3,1,1.666666667
Senegalese,intolerant,2,1,0,2,1,0,2,1,2,1.666666667
Zambian,untrustworthy,2,1,0,2,1,0,1,3,1,1.666666667
Zimbabwean,untrustworthy,2,1,0,2,1,0,1,3,1,1.666666667
Tanzanian,untrustworthy,2,1,0,2,1,0,1,3,1,1.666666667
Nigerian,stubborn,2,1,0,2,1,0,2,2,1,1.666666667
Ghanaian,unambitious,2,1,0,2,1,0,2,2,1,1.666666667
Zimbabwean,unhygienic,2,1,0,2,1,0,2,2,1,1.666666667
Liberian,savage,2,1,0,2,1,0,4,-1,2,1.666666667
Equatorial Guinean,slovenly,2,1,0,2,1,0,0,4,1,1.666666667
Central African,untrustworthy,2,1,0,2,1,0,1,3,1,1.666666667
Cameroonian,angry,2,1,0,2,1,0,2,1,2,1.666666667
Ethiopian,snobbish,2,1,0,2,1,0,1,3,1,1.666666667
Cameroonian,not as attractive,2,1,0,2,1,0,1,3,1,1.666666667
Congolese,cheats,2,1,0,2,1,0,3,1,1,1.666666667
Nigerian,ungrateful,2,1,0,2,1,0,2,1,2,1.666666667
Nigerian,unemployable,2,1,0,2,1,0,3,3,-1,1.666666667
Namibian,scruffy,2,1,0,2,1,0,1,3,1,1.666666667
Ghanaian,untrustworthy,2,1,0,2,1,0,1,3,1,1.666666667
Sierra Leonean,untrustworthy,2,1,0,2,1,0,1,3,1,1.666666667
Mauritanian,untrustworthy,2,1,0,2,1,0,1,3,1,1.666666667
Syrian,untrustworthy,2,1,0,2,1,0,1,3,1,1.666666667
Australian,cheeky,2,1,0,2,1,0,1,1,3,1.666666667
United States,incompetent,2,1,0,2,1,0,2,2,1,1.666666667
United States,agressive,2,1,0,2,1,0,2,1,2,1.666666667
Canadian,hosers,2,1,0,2,1,0,3,-1,3,1.666666667
United States,controversial,2,1,0,2,1,0,2,1,2,1.666666667
Chinese,hard to understand,2,1,0,2,1,0,1,2,1,1.333333333
North Korean,hard to understand,2,1,0,2,1,0,1,2,1,1.333333333
Nepali,hard to understand,2,1,0,2,1,0,1,2,1,1.333333333
Somalis,malnourished,2,1,0,2,1,0,2,3,-1,1.333333333
Cameroonian,bad,2,1,0,2,1,0,1,2,1,1.333333333
Ugandan,malnourished,2,1,0,2,1,0,2,3,-1,1.333333333
Zimbabwean,malnutrition,2,1,0,2,1,0,2,3,-1,1.333333333
Eritrean,hard to understand,2,1,0,2,1,0,1,2,1,1.333333333
Eritrean,malnourished,2,1,0,2,1,0,2,3,-1,1.333333333
Nigerian,malnourished,2,1,0,2,1,0,2,3,-1,1.333333333
Mauritian,overweight,2,1,0,2,1,0,2,3,-1,1.333333333
Nigerian,backward,2,1,0,2,1,0,1,1,2,1.333333333
Cameroonian,unpleasant to be with,2,1,0,2,1,0,2,3,-1,1.333333333
Barundi,diseased,2,1,0,2,1,0,2,3,-1,1.333333333
Kenyan,malnourished,2,1,0,2,1,0,2,3,-1,1.333333333
Cameroonian,uncooperative,2,1,0,2,1,0,1,2,1,1.333333333
Ethiopian,diseased,2,1,0,2,1,0,2,3,-1,1.333333333
Cameroonian,unworkable,2,1,0,2,1,0,2,3,-1,1.333333333
Chadian,average,2,1,0,2,1,0,1,2,1,1.333333333
Congolese,hard to understand,2,1,0,2,1,0,1,2,1,1.333333333
Ethiopian,untruthworthy,2,1,0,2,1,0,2,1,1,1.333333333
Rwandan,unpunctual,2,1,0,2,1,0,1,2,1,1.333333333
Congolese,unfaithful,2,1,0,2,1,0,2,1,1,1.333333333
Nigerian,dishonest,2,1,0,2,1,0,1,2,1,1.333333333
Sudanese,malnourished,2,1,0,2,1,0,2,3,-1,1.333333333
Sudanese,malnourished,2,1,0,2,1,0,2,3,-1,1.333333333
Mexican,alcoholic,2,1,0,2,1,0,2,1,1,1.333333333
Mexican,drank heavily,2,1,0,2,1,0,3,-1,2,1.333333333
Mexican,very lazy,2,1,0,2,1,0,3,2,-1,1.333333333
Australian,alcoholic,2,1,0,2,1,0,2,1,1,1.333333333
United States,tactless,2,1,0,2,1,0,3,-1,2,1.333333333
Bermudan,hard to understand,2,1,0,2,1,0,1,2,1,1.333333333
United States,frivolous,2,1,0,2,1,0,2,1,1,1.333333333
United States,brash,2,1,0,2,1,0,3,2,-1,1.333333333
Russian,hardhearted,2,1,0,2,1,0,1,1,1,1
Afghanis,fanatical,2,1,0,2,1,0,3,-1,1,1
Somalis,underweight,2,1,0,2,1,0,2,2,-1,1
Ethiopian,underprivileged,2,1,0,2,1,0,2,-1,2,1
Ethiopian,slow,2,1,0,2,1,0,3,1,-1,1
Cameroonian,selfish,2,1,0,2,1,0,1,1,1,1
Cameroonian,weak,2,1,0,2,1,0,1,1,1,1
Cameroonian,unpleasant,2,1,0,2,1,0,1,1,1,1
Congolese,less hard working,2,1,0,2,1,0,1,1,1,1
Israeli,money grubbing,2,1,0,2,1,0,3,-1,1,1
Mexican,less hard working,2,1,0,2,1,0,1,1,1,1
Australian,sarcastic,2,1,0,2,1,0,1,1,1,1
Vietnamese,short,2,1,0,2,1,0,4,-1,-1,0.667
South African,unpredictable,2,1,0,2,1,0,0,1,1,0.667
Ethiopian,short,2,1,0,2,1,0,4,-1,-1,0.667
Turks,superstitious,2,1,0,2,1,0,1,2,-1,0.667
Turks,unpredictable,2,1,0,2,1,0,0,1,1,0.667
Bolivian,short,2,1,0,2,1,0,4,-1,-1,0.667
Mexican,short,2,1,0,2,1,0,4,-1,-1,0.667
Russian,bitter,2,1,0,2,1,0,1,2,-1,0.6666666667
Russian,unwashed,2,1,0,2,1,0,2,-1,1,0.6666666667
Vietnamese,cheap,2,1,0,2,1,0,1,2,-1,0.6666666667
Iranian,strict,2,1,0,2,1,0,2,1,-1,0.6666666667
Pakistani,strict,2,1,0,2,1,0,2,1,-1,0.6666666667
Pakistani,cheap,2,1,0,2,1,0,1,2,-1,0.6666666667
Cameroonian,crazy,2,1,0,2,1,0,2,-1,1,0.6666666667
South African,skeptical,2,1,0,2,1,0,1,2,-1,0.6666666667
Zimbabwean,zany,2,1,0,2,1,0,-1,2,1,0.6666666667
Togolese,black,2,1,0,2,1,0,-1,4,-1,0.6666666667
Nigerian,stingy,2,1,0,2,1,0,2,-1,1,0.6666666667
Cameroonian,strict,2,1,0,2,1,0,2,1,-1,0.6666666667
Cameroonian,unsociable,2,1,0,2,1,0,2,1,-1,0.6666666667
Ethiopian,swarthy,2,1,0,2,1,0,0,3,-1,0.6666666667
Malian,black,2,1,0,2,1,0,-1,4,-1,0.6666666667
Mozambican,unwashed,2,1,0,2,1,0,2,-1,1,0.6666666667
Senegalese,snobby,2,1,0,2,1,0,1,0,1,0.6666666667
Sudanese,black,2,1,0,2,1,0,-1,4,-1,0.6666666667
Mexican,immigrant,2,1,0,2,1,0,-1,4,-1,0.6666666667
Australian,crazy,2,1,0,2,1,0,2,-1,1,0.6666666667
United States,were lazy,2,1,0,2,1,0,2,1,-1,0.6666666667
United States,careless,2,1,0,2,1,0,-1,2,1,0.6666666667
Greeks,argumentative,2,1,0,2,1,0,1,1,-1,0.3333333333
Japanese,slender,2,1,0,2,1,0,1,1,-1,0.3333333333
Japanese,eccentric,2,1,0,2,1,0,1,1,-1,0.3333333333
Gambian,naked,2,1,0,2,1,0,3,-1,-1,0.3333333333
Ethiopian,unconcerned,2,1,0,2,1,0,1,1,-1,0.3333333333
Nigerian,sassy,2,1,0,2,1,0,-1,1,1,0.3333333333
Nigerian,stole,2,1,0,2,1,0,1,1,-1,0.3333333333
Cameroonian,unproductive,2,1,0,2,1,0,1,1,-1,0.3333333333
Argentine,boastful,2,1,0,2,1,0,1,-1,1,0.3333333333
Australian,hard-drinking,2,1,0,2,1,0,-1,1,1,0.3333333333
United States,self-centered,2,1,0,2,1,0,-1,1,1,0.3333333333
United States,belligerent,2,1,0,2,1,0,1,1,-1,0.3333333333
United States,demanding,2,1,0,2,1,0,1,1,-1,0.3333333333
Italian,ate pasta,2,1,0,2,1,0,NA,NA,NA,0
Greeks,olives,2,1,0,2,1,0,NA,NA,NA,0
Irish,love whiskey,2,1,0,2,1,0,NA,NA,NA,0
Greeks,hospitality,2,1,0,2,1,0,NA,NA,NA,0
Norwegian,blonde haired,2,1,0,2,1,0,NA,NA,NA,0
French,daring,2,1,0,2,1,0,NA,NA,NA,0
French,ate cheese,2,1,0,2,1,0,NA,NA,NA,0
French,ate snails,2,1,0,2,1,0,NA,NA,NA,0
Welsh,sheep,2,1,0,2,1,0,2,-1,-1,0
Finns,sauna,2,1,0,2,1,0,NA,NA,NA,0
English,tea-drinking,2,1,0,2,1,0,NA,NA,NA,0
English,stiff-upper-lip,2,1,0,2,1,0,NA,NA,NA,0
British,stuck-up,2,1,0,2,1,0,-1,2,-1,0
German,law-abiding,2,1,0,2,1,0,NA,NA,NA,0
Russian,hard,2,1,0,2,1,0,2,-1,-1,0
German,obstinate,2,1,0,2,1,0,NA,NA,NA,0
French,good at cheese,2,1,0,2,1,0,NA,NA,NA,0
Russian,drank vodka,2,1,0,2,1,0,NA,NA,NA,0
Russian,hard to communicate,2,1,0,2,1,0,NA,NA,NA,0
English,annoyed,2,1,0,2,1,0,NA,NA,NA,0
French,unbiased,2,1,0,2,1,0,NA,NA,NA,0
French,sullen,2,1,0,2,1,0,NA,NA,NA,0
French,gossipy,2,1,0,2,1,0,NA,NA,NA,0
French,good at revolutions,2,1,0,2,1,0,NA,NA,NA,0
Norwegian,hard to get to know,2,1,0,2,1,0,NA,NA,NA,0
Swiss,good at playing tennis,2,1,0,2,1,0,NA,NA,NA,0
Irish,good sense of humour,2,1,0,2,1,0,NA,NA,NA,0
English,tea,2,1,0,2,1,0,NA,NA,NA,0
British,multiracial,2,1,0,2,1,0,NA,NA,NA,0
Welsh,virgins,2,1,0,2,1,0,NA,NA,NA,0
Swiss,incorruptible,2,1,0,2,1,0,NA,NA,NA,0
Swiss,expensive,2,1,0,2,1,0,NA,NA,NA,0
Swedes,good at skiing,2,1,0,2,1,0,NA,NA,NA,0
French,bad smell,2,1,0,2,1,0,NA,NA,NA,0
Italian,fashion conscious,2,1,0,2,1,0,NA,NA,NA,0
Latvian,love vodka,2,1,0,2,1,0,2,-1,-1,0
Netherlanders,conscientious,2,1,0,2,1,0,NA,NA,NA,0
Netherlanders,hard to pronounce,2,1,0,2,1,0,NA,NA,NA,0
Netherlanders,open minded,2,1,0,2,1,0,NA,NA,NA,0
Greeks,grieving,2,1,0,2,1,0,NA,NA,NA,0
Greeks,love souvlaki,2,1,0,2,1,0,NA,NA,NA,0
Vietnamese,eat snakes,2,1,0,2,1,0,NA,NA,NA,0
Vietnamese,love pho,2,1,0,2,1,0,NA,NA,NA,0
Japanese,good at video games,2,1,0,2,1,0,NA,NA,NA,0
Chinese,self-disciplined,2,1,0,2,1,0,NA,NA,NA,0
Chinese,good at gymnastics,2,1,0,2,1,0,NA,NA,NA,0
Vietnamese,smuggler,2,1,0,2,1,0,NA,NA,NA,0
Philippine,monkeys,2,1,0,2,1,0,NA,NA,NA,0
Chinese,china,2,1,0,2,1,0,NA,NA,NA,0
Thai,laid-back,2,1,0,2,1,0,NA,NA,NA,0
Hong Kong,entrepreneurial,2,1,0,2,1,0,NA,NA,NA,0
Chinese,collectivistic,2,1,0,2,1,0,NA,NA,NA,0
Nepali,love momo,2,1,0,2,1,0,NA,NA,NA,0
Afghans,war-torn,2,1,0,2,1,0,NA,NA,NA,0
Indian,inscrutable,2,1,0,2,1,0,-1,2,-1,0
Indian,selfless,2,1,0,2,1,0,NA,NA,NA,0
Indian,attentive,2,1,0,2,1,0,NA,NA,NA,0
Pakistani,bad at math,2,1,0,2,1,0,NA,NA,NA,0
Pakistani,intimidating,2,1,0,2,1,0,NA,NA,NA,0
Indian,mystic,2,1,0,2,1,0,NA,NA,NA,0
Pakistani,collectivist,2,1,0,2,1,0,NA,NA,NA,0
Indian,meek,2,1,0,2,1,0,NA,NA,NA,0
Pakistani,fanatic,2,1,0,2,1,0,NA,NA,NA,0
Cameroonian,disgusting,2,1,0,2,1,0,NA,NA,NA,0
Angolan,very aggressive,2,1,0,2,1,0,NA,NA,NA,0
South African,infected,2,1,0,2,1,0,NA,NA,NA,0
Somalis,unattractive and smell bad,2,1,0,2,1,0,NA,NA,NA,0
Zimbabwean,less civilized,2,1,0,2,1,0,NA,NA,NA,0
Rwandan,disloyal,2,1,0,2,1,0,NA,NA,NA,0
Ethiopian,dying,2,1,0,2,1,0,NA,NA,NA,0
Liberian,have a lot of Ebola,2,1,0,2,1,0,NA,NA,NA,0
Malawian,dizzy,2,1,0,2,1,0,2,-1,-1,0
Ghanaian,terrible,2,1,0,2,1,0,NA,NA,NA,0
Ghanaian,wicked,2,1,0,2,1,0,NA,NA,NA,0
Ethiopian,wretched,2,1,0,2,1,0,NA,NA,NA,0
Ethiopian,misanthropic,2,1,0,2,1,0,NA,NA,NA,0
Ethiopian,scrawny,2,1,0,2,1,0,NA,NA,NA,0
Kenyan,dramatically,2,1,0,2,1,0,-1,2,-1,0
Ethiopian,poorly fed,2,1,0,2,1,0,NA,NA,NA,0
Ethiopian,needy,2,1,0,2,1,0,-1,2,-1,0
Cameroonian,fucked up,2,1,0,2,1,0,NA,NA,NA,0
Cameroonian,ugliest,2,1,0,2,1,0,NA,NA,NA,0
Liberian,quarrelsome,2,1,0,2,1,0,NA,NA,NA,0
Ethiopian,dusky,2,1,0,2,1,0,NA,NA,NA,0
Cameroonian,love vodka,2,1,0,2,1,0,2,-1,-1,0
Ethiopian,primitive,2,1,0,2,1,0,-1,-1,2,0
Mauritanian,muggers,2,1,0,2,1,0,NA,NA,NA,0
Mauritanian,morose,2,1,0,2,1,0,NA,NA,NA,0
South African,suspicious,2,1,0,2,1,0,2,-1,-1,0
Saudi Arabian,love shawarma,2,1,0,2,1,0,NA,NA,NA,0
Sudanese,destitute,2,1,0,2,1,0,NA,NA,NA,0
Bahraini,bribed,2,1,0,2,1,0,NA,NA,NA,0
Syrian,likes to complain,2,1,0,2,1,0,NA,NA,NA,0
Sudanese,slimmer,2,1,0,2,1,0,NA,NA,NA,0
Turks,reactive,2,1,0,2,1,0,NA,NA,NA,0
Iraqi,warmongering,2,1,0,2,1,0,NA,NA,NA,0
Turks,reactive,2,1,0,2,1,0,NA,NA,NA,0
Mexican,machismo,2,1,0,2,1,0,NA,NA,NA,0
Mexican,cant speak English,2,1,0,2,1,0,NA,NA,NA,0
Mexican,fat Mexican,2,1,0,2,1,0,NA,NA,NA,0
Mexican,gang rapists,2,1,0,2,1,0,NA,NA,NA,0
Mexican,bad hombres,2,1,0,2,1,0,NA,NA,NA,0
Brazilian,very romantic,2,1,0,2,1,0,NA,NA,NA,0
Chilean,were hard working,2,1,0,2,1,0,NA,NA,NA,0
Argentine,virile,2,1,0,2,1,0,NA,NA,NA,0
Mexican,good at jumping over walls,2,1,0,2,1,0,NA,NA,NA,0
Argentine,bad-tempered,2,1,0,2,1,0,NA,NA,NA,0
New Zealand,fantastic,2,1,0,2,1,0,NA,NA,NA,0
New Zealand,awesome,2,1,0,2,1,0,NA,NA,NA,0
New Zealand,agricultural,2,1,0,2,1,0,NA,NA,NA,0
Australian,swagman,2,1,0,2,1,0,NA,NA,NA,0
New Zealand,very good at rugby,2,1,0,2,1,0,NA,NA,NA,0
Australian,liked,2,1,0,2,1,0,NA,NA,NA,0
Australian,multi-cultural,2,1,0,2,1,0,NA,NA,NA,0
Australian,swam a lot,2,1,0,2,1,0,NA,NA,NA,0
Australian,hard drinkers,2,1,0,2,1,0,NA,NA,NA,0
Australian,like barbie,2,1,0,2,1,0,NA,NA,NA,0
Australian,popular,2,1,0,2,1,0,NA,NA,NA,0
Australian,rebellious,2,1,0,2,1,0,NA,NA,NA,0
